RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2654035	-3662856	65.666667	-19.366667	654000	-192200	27WWN7509183732	NQ27-10	S	FRM		IC	28					N				SVADHASTADHIR	Svaðastaðir	Svadhastadhir	1994-01-14
1	-2650478	-3658871	64.416667	-19.75	642500	-194500	27WWM6022544038	NQ27-14	T	HLL		IC	03					N				MIKLAALDA	Miklaalda	Miklaalda	1994-01-14
1	-2651168	-3659635	63.8	-19.4	634800	-192400	27VWL7881275715	NP27-02	H	STM		IC	23					N				NYRDHRIEMSTRAA	Nyrðri-Emstraá	Nyrdhri-Emstraa	1994-01-14
1	-2648429	-3656646	66.45	-16.533333	662700	-163200	28WDU3164170908	NQ27-07	S	FRMQ		IC	21					N				KILSNES	Kílsnes	Kilsnes	1994-01-14
1	-2646639	-3654668	64.95	-23.433333	645700	-232600	27WUN8506005094	NQ27-13	S	FRM		IC	29					N				HOFDHI	Höfði	Hofdhi	1994-01-14
1	-2644039	-3651806	65.55	-22.85	653300	-225100	27WVN1456871009	NQ27-09	S	FRM		IC	04					N				FJORDHUR	Fjörður	Fjordhur	1994-01-14
1	-2644300	-3652087	64.716667	-19.433333	644300	-192600	27WWM7465477801	NQ27-14	H	STM		IC	00					N				FOSSROFULAEKUR	Fossrófulækur	Fossrofulaekur	1994-01-14
1	-2651566	-3660095	65.683333	-18.383333	654100	-182300	27WXN2020587116	NQ27-11	S	FRMS		IC	09					N				RAUDHALAEKUR	Rauðalækur	Raudhalaekur	1994-01-14
1	-2652157	-3660771	63.983333	-22.033333	635900	-220200	27VVL4942995567	NP27-01	T	SLP		IC	10					N				SAUDHABREKKA	Sauðabrekka	Saudhabrekka	1994-01-14
1	-2648677	-3656908	64.416667	-14.933333	642500	-145600	28WES0321243448	NQ27-16	T	PT		IC	06					N				KLIFATANGI	Klifatangi	Klifatangi	1994-01-14
